Sample Number: 0
x[16] = 0.08757 | u[16] = -0.33230
x[17] = 0.55225 | u[17] = 0.09440
x[18] = 0.27827 | u[18] = -0.17625
x[19] = 0.42769 | u[19] = 0.03375
Sample Number: 70
x[0] = 0.53741 | u[0] = 0.10899
x[1] = 0.66265 | u[1] = 0.19931
x[2] = 0.31694 | u[2] = -0.13094
x[3] = 0.50257 | u[3] = 0.05818
x[4] = 0.80863 | u[4] = 0.36809
x[5] = 0.86357 | u[5] = 0.34391
x[6] = 0.16108 | u[6] = -0.23656
x[7] = 0.23022 | u[7] = -0.19639
x[8] = 0.13077 | u[8] = -0.33660
x[9] = 0.43519 | u[9] = 0.02836
x[10] = 0.07999 | u[10] = -0.31686
x[11] = 0.44224 | u[11] = 0.03348
x[12] = 0.63697 | u[12] = 0.16724
x[13] = 0.31229 | u[13] = -0.18918
x[14] = 0.64390 | u[14] = 0.17730
x[15] = 0.54975 | u[15] = 0.12890
x[16] = 0.09579 | u[16] = -0.32386
x[17] = 0.54991 | u[17] = 0.09236
x[18] = 0.28263 | u[18] = -0.17183
x[19] = 0.42688 | u[19] = 0.03077
Sample Number: 80
x[0] = 0.53472 | u[0] = 0.10619
x[1] = 0.65772 | u[1] = 0.19404
x[2] = 0.32018 | u[2] = -0.12745
x[3] = 0.50116 | u[3] = 0.05515
x[4] = 0.79954 | u[4] = 0.35757
x[5] = 0.85502 | u[5] = 0.33855
x[6] = 0.16695 | u[6] = -0.23155
x[7] = 0.23509 | u[7] = -0.19190
x[8] = 0.13909 | u[8] = -0.32796
x[9] = 0.43451 | u[9] = 0.02602
x[10] = 0.08785 | u[10] = -0.31021
x[11] = 0.44142 | u[11] = 0.03244
x[12] = 0.63282 | u[12] = 0.16373
x[13] = 0.31695 | u[13] = -0.18252
x[14] = 0.63949 | u[14] = 0.17431
x[15] = 0.54655 | u[15] = 0.12601
x[16] = 0.10381 | u[16] = -0.31562
x[17] = 0.54762 | u[17] = 0.09037
x[18] = 0.28689 | u[18] = -0.16752
x[19] = 0.42615 | u[19] = 0.02790
Sample Number: 90
x[0] = 0.53209 | u[0] = 0.10347
x[1] = 0.65293 | u[1] = 0.18890
x[2] = 0.32333 | u[2] = -0.12406
x[3] = 0.49981 | u[3] = 0.05223
x[4] = 0.79071 | u[4] = 0.34734
x[5] = 0.84660 | u[5] = 0.33323
x[6] = 0.17269 | u[6] = -0.22664
x[7] = 0.23984 | u[7] = -0.18751
x[8] = 0.14721 | u[8] = -0.31953
x[9] = 0.43389 | u[9] = 0.02377
x[10] = 0.09555 | u[10] = -0.30371
x[11] = 0.44062 | u[11] = 0.03143
x[12] = 0.62876 | u[12] = 0.16029
x[13] = 0.32144 | u[13] = -0.17608
x[14] = 0.63516 | u[14] = 0.17136
